cell_name,cell_type
SAAVR,"Interneuron, Motor"
SABD,"Interneuron, Motor"
SABVL,"Interneuron, Motor"
SABVR,"Interneuron, Motor"
SDQL,"Interneuron, Sensory"
SDQR,"Interneuron, Sensory"
SIADL,"Interneuron, Motor"
SIADR,"Interneuron, Motor"
SIAVL,"Interneuron, Motor"
SIAVR,"Interneuron, Motor"
SIBDL,"Interneuron, Motor"
SIBDR,"Interneuron, Motor"
SIBVL,"Interneuron, Motor"
SIBVR,"Interneuron, Motor"
SMBDL,Motor
SMBDR,Motor
SMBVL,Motor
SMBVR,Motor
SMDDL,Motor
SMDDR,Motor
SMDVL,Motor
SMDVR,Motor
URADL,"Motor, Sensory"
URADR,"Motor, Sensory"
URAVL,"Motor, Sensory"
URAVR,"Motor, Sensory"
URBL,Interneuron
URBR,Interneuron
URXL,"Interneuron, Sensory"
URXR,"Interneuron, Sensory"
URYDL,Sensory
URYDR,Sensory
URYVL,Sensory
URYVR,Sensory
VA1,Motor
VA10,Motor
VA11,Motor
VA12,Motor
VA2,Motor
VA3,Motor
VA4,Motor
VA5,Motor
VA6,Motor
VA7,Motor
VA8,Motor
VA9,Motor
VB1,"Motor, Sensory"
VB10,"Motor, Sensory"
VB11,"Motor, Sensory"
VB2,"Motor, Sensory"
VB3,"Motor, Sensory"
VB4,"Motor, Sensory"
VB5,"Motor, Sensory"
VB6,"Motor, Sensory"
VB7,"Motor, Sensory"
VB8,"Motor, Sensory"
VB9,"Motor, Sensory"
VC1,Motor
VC2,Motor
VC3,Motor
VC4,Motor
VC5,Motor
VC6,Motor
VD1,Motor
VD10,Motor
VD11,Motor
VD12,Motor
VD13,Motor
VD2,Motor
VD3,Motor
VD4,Motor
VD5,Motor
VD6,Motor
VD7,Motor
VD8,Motor
VD9,Motor
