Source,Target,Weight,logWeight,Syn,exin
MI,M1,7,2.94591014905531,chemical,1
MI,M2L,3,2.09861228866811,chemical,1
MI,M2R,2,1.69314718055995,chemical,1
MI,M3L,2,1.69314718055995,chemical,1
MI,MCL,3,2.09861228866811,chemical,1
MI,NSML,1,1,chemical,1
MI,NSMR,2,1.69314718055995,chemical,1
NSML,I4,1,1,chemical,1
NSML,M3L,21,4.04452243772342,chemical,1
NSML,M3R,1,1,chemical,1
NSML,M4,13,3.56494935746154,chemical,1
NSML,NSMR,7,2.94591014905531,chemical,1
NSMR,I2L,1,1,chemical,1
NSMR,I2R,1,1,chemical,1
NSMR,I4,3,2.09861228866811,chemical,1
NSMR,I6,4,2.38629436111989,chemical,1
NSMR,M3R,24,4.17805383034795,chemical,1
I1L,I2L,2,1.69314718055995,electrical,1
I1L,M3L,2,1.69314718055995,electrical,1
I1L,MCR,1,1,electrical,1
I1L,NSML,3,2.09861228866811,electrical,1
I1R,I2R,1,1,electrical,1
I1R,I3,1,1,electrical,1
I1R,MCR,4,2.38629436111989,electrical,1
I1R,NSMR,2,1.69314718055995,electrical,1
I2L,I1L,2,1.69314718055995,electrical,1
I2L,I4,1,1,electrical,1
I2L,M2L,1,1,electrical,1
I2R,I1R,1,1,electrical,1
I2R,M1,1,1,electrical,1
I2R,M2R,1,1,electrical,1
I2R,MCR,1,1,electrical,1
I2R,NSMR,2,1.69314718055995,electrical,1
I3,I1R,1,1,electrical,1
I3,M1,1,1,electrical,1
I3,MI,1,1,electrical,1
I4,I2L,1,1,electrical,1
I4,M2R,2,1.69314718055995,electrical,1
I4,M4,1,1,electrical,1
I5,M2L,1,1,electrical,1
I5,M2R,1,1,electrical,1
I5,M5,1,1,electrical,1
I6,M4,5,2.6094379124341,electrical,1
M1,I2R,1,1,electrical,1
M1,I3,1,1,electrical,1
M2L,I2L,1,1,electrical,1
M2L,I5,1,1,electrical,1
M2L,M4,1,1,electrical,1
M2L,MCL,1,1,electrical,1
M2R,I2R,1,1,electrical,1
M2R,I4,2,1.69314718055995,electrical,1
M2R,I5,1,1,electrical,1
M2R,M3R,1,1,electrical,1
M2R,MCR,11,3.39789527279837,electrical,1
M2R,MI,5,2.6094379124341,electrical,1
M3L,I1L,2,1.69314718055995,electrical,1
M3L,NSMR,1,1,electrical,1
M3R,M2R,1,1,electrical,1
M3R,NSMR,2,1.69314718055995,electrical,1
M4,I4,1,1,electrical,1
M4,I6,5,2.6094379124341,electrical,1
M4,M2L,1,1,electrical,1
M4,M4,1,1,electrical,1
M4,M5,2,1.69314718055995,electrical,1
M5,I5,1,1,electrical,1
M5,M4,2,1.69314718055995,electrical,1
M5,M5,1,1,electrical,1
MCL,M2L,1,1,electrical,1
MCR,I1L,1,1,electrical,1
MCR,I1R,4,2.38629436111989,electrical,1
MCR,I2R,1,1,electrical,1
MCR,M2R,11,3.39789527279837,electrical,1
MI,I3,1,1,electrical,1
MI,M2R,5,2.6094379124341,electrical,1
NSML,I1L,3,2.09861228866811,electrical,1
NSML,NSMR,2,1.69314718055995,electrical,1
NSMR,I1R,2,1.69314718055995,electrical,1
NSMR,I2R,2,1.69314718055995,electrical,1
NSMR,M3L,1,1,electrical,1
NSMR,M3R,2,1.69314718055995,electrical,1
NSMR,NSML,2,1.69314718055995,electrical,1
